inventory_id,prod_id,qty,color,size,weight,retail,cost_price
615,155,0,"",large,0,0,0
604,152,0,"",Small,0,0,0
568,140,0,pink,small,0,0,0
559,137,0,Mint,"",0,0,0
557,137,0,White,"",0,0,0
626,158,0,"",medium,1,0,0
552,135,0,pink,large,0,0,0
558,137,0,Grey,"",0,0,0
593,148,0,"",Small,0,0,0
612,154,0,"",large,1,0,0
605,152,0,"",Medium,0,0,0
614,155,0,"",medium,0,0,0
603,151,0,"",Large,1,0,0
597,149,0,"",M/L,0,0,0
599,150,0,"",Medium,0,0,0
629,159,0,"",medium,0,0,0
583,144,0,"",small,0,0,0
576,141,0,"",large,0,0,0
582,143,0,"",large,0,0,0
562,139,0,pink,small,0,0,0
573,140,0,blue,large,1,0,0
549,135,0,green,XL,0,0,0
578,142,0,"",XL,0,0,0
567,139,0,blue,large,1,0,0
550,135,0,pink,small,0,0,0
547,135,0,green,medium,0,0,0
553,135,0,pink,XL,1,1.5,0
564,139,0,pink,large,0,0,0
551,135,0,pink,medium,0,0,0
548,135,0,green,large,0,0,0
563,139,0,pink,medium,1,0,0
616,156,0,blue,small,0,0,0
565,139,0,blue,small,0,0,0
585,145,0,"",small,0,0,0
569,140,0,pink,medium,1,0,0
560,138,0,Brown,"",0,0,0
633,160,0,"",large,1,0,0
638,162,0,"",medium,0,0,0
561,138,0,Coral,"",0,0,0
571,140,0,blue,small,0,0,0
570,140,0,pink,large,0,0,0
572,140,0,blue,medium,1,0,0
584,144,0,"",medium,1,0,0
554,136,0,"",Small,0,0,0
586,145,0,"",medium,0,0,0
601,151,0,"",Small,0,0,0
630,159,0,"",large,1,0,0
20459,2844,0,"",3XL,3,0,1.5
580,142,0,"",2XL,0,0,0
21643,2983,0,teal,small,0,0,0
574,141,0,"",small,0,0,0
619,156,0,pink,small,0,0,0
575,141,0,"",medium,0,0,0
618,156,0,blue,large,2,0,0
566,139,0,blue,medium,1,0,0
617,156,0,blue,medium,1,0,0
609,153,0,"",Large,1,0,0
610,154,0,"",small,0,0,0
639,162,0,"",large,1,0,0
611,154,0,"",medium,0,0,0
628,159,0,"",small,0,0,0
555,136,0,"",Medium,0,0,0
607,153,0,"",Small,0,0,0
606,152,0,"",Large,1,0,0
596,149,0,"",S/M,0,0,0
581,143,0,"",medium,0,0,0
622,157,0,"",small,0,0,0
620,156,0,pink,medium,1,0,0
634,161,0,"",small,0,0,0
602,151,0,"",Medium,1,0,0
632,160,0,"",medium,0,0,0
623,157,0,"",medium,0,0,0
624,157,0,"",large,1,0,0
625,158,0,"",small,0,0,0
579,142,0,"",1XL,0,0,0
598,150,0,"",Small,0,0,0
545,134,0,Green,Large,0,0,0
